id	HLA-A	HLA-B	HLA-C	HLA-DMA	HLA-DMB	HLA-DOA	HLA-DOB	HLA-DPA1	HLA-DPB1	HLA-DPB2	HLA-DQA1	HLA-DQA2	HLA-DQB1	HLA-DQB2	HLA-DRA	HLA-DRB1	HLA-DRB5	HLA-DRB6	HLA-E	HLA-F	HLA-G	HLA-H	HLA-J	HLA-L
TCGA.VM.A8CH.01A.12R.A36H.07	147.1695614	117.5644824	115.2174653	19.39276254	6.589151402	8.116913827	0.503445896	44.47971911	54.567028	0.040787899	5.91023148	1.270384245	12.74871351	1.190652663	250.5906523	179.6335757	108.6814061	3.937293383	133.5850524	5.536082051	0.703319409	9.844670426	1.264741043	0.620400856
TCGA.HT.7609.01A.11R.2090.07	87.68801138	92.87671285	93.80381982	14.9907473	6.006008922	6.553349777	0.142039858	25.58235633	33.68611873	0.010308987	2.862168751	3.246924899	9.986094968	0.683199109	242.5446811	88.2651634	59.41903488	4.465672606	147.651023	3.126410293	0.346166763	3.551709236	0.211984056	0.428464328
TCGA.DB.5270.01A.02R.1470.07	199.4841852	192.6708381	109.4188344	24.99354885	8.153256242	13.73809498	0.157373055	48.13801358	71.26639628	1.032534448	13.49079887	0.19186295	20.71955539	0.663232753	467.9528354	235.5674171	41.98016162	13.94739467	126.0559702	5.067488475	1.127801544	10.4447319	3.006306903	0.701120543
TCGA.DU.7014.01A.11R.2027.07	117.6587198	86.83477366	59.75478749	12.45581937	5.719195609	1.957948711	0.374880623	9.568533452	15.97660456	0.30634342	1.353736586	0.338547778	3.437716582	0.400698339	126.5077401	60.65540372	7.053320521	3.151711302	159.2498021	2.352774505	0.746264534	9.779922485	0.892013309	0.351462407
TCGA.DB.A64P.01A.11R.A29R.07	166.1114047	170.5517843	202.7401889	8.31714888	3.754024965	1.609601612	0.031596642	12.02796791	12.10169875	0.073383201	0.824903311	0.950193676	1.344760123	0.810544229	81.37891202	36.04630844	10.18822851	2.036577518	119.4193398	5.137838101	0.521688098	14.67664015	0.431137532	0.622079813
TCGA.TM.A84B.01A.11R.A36H.07	458.6955871	466.039323	440.1688572	5.330107425	2.047380261	1.777990757	0.361895117	7.685078393	11.40692642	0.063951194	1.679726143	3.270694747	1.552951395	1.513637733	69.95803852	36.91345881	11.17188209	4.034671334	115.4505612	13.58726169	2.213754976	33.64939791	0.975090774	0.645237428
TCGA.DB.A75K.01A.11R.A32Q.07	169.8592157	396.7194571	380.7932715	7.398888215	3.957969978	1.310872729	0.34003745	8.37431037	11.58141206	0.16008182	0.433848616	0.044817307	1.521604247	0.168396392	69.55555071	52.33922567	12.37288478	2.382313659	237.6550483	7.971401168	2.188904748	9.815235668	1.285357085	2.276719215
TCGA.R8.A6YH.01A.21R.A32Q.07	116.4074402	69.3307005	54.45836757	6.165535994	2.077326017	1.290566918	0.252456871	5.439279293	10.86594326	0.011275598	0.76310094	1.621792009	2.38387841	0.302461793	50.27507136	27.40731177	7.044563913	2.380970862	75.03825009	2.746446835	1.268904475	15.04510412	1.137220628	0.983158385
TCGA.E1.5318.01A.01R.1470.07	91.75589741	102.0113285	67.6094769	6.764968142	3.154419272	2.151186524	0.018251791	5.979408162	14.56228104	0.349715731	1.226348062	1.179348364	2.524024751	0.217383516	82.73956265	45.41948494	25.59535622	2.212196953	115.5053975	2.569551256	1.029088384	10.1023832	0.373569713	0.575977467
TCGA.DU.6399.01A.12R.1708.07	178.3458863	195.0832117	173.6012331	20.22116971	8.579116305	7.124616277	0.093084099	36.63991712	38.14921775	0.098267191	6.403043064	3.600551143	10.63786426	1.131913994	272.0895683	123.6960874	30.12279352	6.10649814	146.9059822	5.029686899	1.471499626	22.4364798	0.31753413	0.365578941
